zpid,imgSrc,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,timeOnZillow,is_FSBA,datePriceChanged,priceReduction,priceChange,videoCount,is_newHome,newConstructionType,streetName,homeDetailUrl,price_to_rent_ratio
1920291,https://photos.zillowstatic.com/fp/e35185e4ba81df9600ac39ea3d46b1b8-p_e.jpg,/homedetails/5652-25th-Ave-S-Minneapolis-MN-55417/1920291_zpid/,5652 25th Ave S,55417,Minneapolis,MN,44.900105,-93.23655,555000.0,1709280000000,4.0,4.0,3030.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,566000.0,3499,False,False,RECENTLY_SOLD,555000.0,True,False,False,USD,USA,670000.0,5227.2,sqft,False,,,,,,,,,5652 25th Ave S,https://www.zillow.com/homedetails/5652-25th-Ave-S-Minneapolis-MN-55417/1920291_zpid/,161.7605030008574
2000828,https://photos.zillowstatic.com/fp/9b253701a32370d62a7c6a763f3eea64-p_e.jpg,/homedetails/2204-Humboldt-Ave-S-Minneapolis-MN-55405/2000828_zpid/,2204 Humboldt Ave S,55405,Minneapolis,MN,44.96065,-93.29861,560000.0,1709280000000,2.0,5.0,3576.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,576400.0,4045,False,False,RECENTLY_SOLD,560000.0,True,False,False,USD,USA,681000.0,7405.2,sqft,False,,,,,,,,,2204 Humboldt Ave S,https://www.zillow.com/homedetails/2204-Humboldt-Ave-S-Minneapolis-MN-55405/2000828_zpid/,142.49690976514216
1905647,https://photos.zillowstatic.com/fp/227308b7b3440905f49e655518efb6f4-p_e.jpg,/homedetails/5732-Wentworth-Ave-Minneapolis-MN-55419/1905647_zpid/,5732 Wentworth Ave,55419,Minneapolis,MN,44.898663,-93.28101,513000.0,1709193600000,2.0,3.0,2029.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,509400.0,2800,False,False,RECENTLY_SOLD,513000.0,True,False,False,USD,USA,457000.0,5227.2,sqft,False,,,,,,,,,5732 Wentworth Ave,https://www.zillow.com/homedetails/5732-Wentworth-Ave-Minneapolis-MN-55419/1905647_zpid/,181.92857142857142
1887469,https://photos.zillowstatic.com/fp/06885fd38facaec13aea74357150c2be-p_e.jpg,/homedetails/1029-Vincent-Ave-N-Minneapolis-MN-55411/1887469_zpid/,1029 Vincent Ave N,55411,Minneapolis,MN,44.98873,-93.31629,320000.0,1709107200000,2.0,3.0,2139.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,308200.0,2900,False,False,RECENTLY_SOLD,320000.0,True,False,False,USD,USA,330000.0,7840.8,sqft,False,,,,,,,,,1029 Vincent Ave N,https://www.zillow.com/homedetails/1029-Vincent-Ave-N-Minneapolis-MN-55411/1887469_zpid/,106.27586206896552
101667920,https://photos.zillowstatic.com/fp/f33f22442b347c69e4ee573ece18e856-p_e.jpg,/homedetails/1203-Irving-Ave-N-Minneapolis-MN-55411/101667920_zpid/,1203 Irving Ave N,55411,Minneapolis,MN,44.990208,-93.29982,320000.0,1709020800000,4.0,4.0,2322.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,320100.0,2999,False,False,RECENTLY_SOLD,320000.0,True,False,False,USD,USA,325000.0,5662.8,sqft,False,,,,,,,,,1203 Irving Ave N,https://www.zillow.com/homedetails/1203-Irving-Ave-N-Minneapolis-MN-55411/101667920_zpid/,106.73557852617539
1713053,https://photos.zillowstatic.com/fp/940fcf3a88e966625e06ea23b6448ce2-p_e.jpg,/homedetails/314-36th-Ave-N-Minneapolis-MN-55412/1713053_zpid/,314 36th Ave N,55412,Minneapolis,MN,45.020508,-93.28435,339900.0,1708934400000,4.0,4.0,2502.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,340100.0,2999,False,False,RECENTLY_SOLD,339900.0,True,False,False,USD,USA,14000.0,6534.0,sqft,False,,,,,,,,,314 36th Ave N,https://www.zillow.com/homedetails/314-36th-Ave-N-Minneapolis-MN-55412/1713053_zpid/,113.40446815605202
1782792,https://photos.zillowstatic.com/fp/16e4928e9559eb9a97de58f6eaa2a7b9-p_e.jpg,/homedetails/4424-Garfield-Ave-Minneapolis-MN-55419/1782792_zpid/,4424 Garfield Ave,55419,Minneapolis,MN,44.922302,-93.28738,661000.0,1708675200000,2.0,4.0,2700.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,662000.0,3499,False,False,RECENTLY_SOLD,661000.0,True,False,False,USD,USA,528000.0,5227.2,sqft,False,,,,,,,,,4424 Garfield Ave,https://www.zillow.com/homedetails/4424-Garfield-Ave-Minneapolis-MN-55419/1782792_zpid/,189.19691340382965
1885122,https://photos.zillowstatic.com/fp/510f6a94a96d3859d9fd5adda2e210aa-p_e.jpg,/homedetails/5442-Washburn-Ave-S-Minneapolis-MN-55410/1885122_zpid/,5442 Washburn Ave S,55410,Minneapolis,MN,44.903885,-93.31792,386000.0,1708675200000,2.0,3.0,2088.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,386600.0,2850,False,False,RECENTLY_SOLD,386000.0,True,False,False,USD,USA,300000.0,5227.2,sqft,False,,,,,,,,,5442 Washburn Ave S,https://www.zillow.com/homedetails/5442-Washburn-Ave-S-Minneapolis-MN-55410/1885122_zpid/,135.64912280701753
1896606,https://photos.zillowstatic.com/fp/d4cbf4eab89b32dec6e7da885d55b949-p_e.jpg,/homedetails/5913-Penn-Ave-S-Minneapolis-MN-55419/1896606_zpid/,5913 Penn Ave S,55419,Minneapolis,MN,44.89575,-93.308105,515000.0,1708588800000,4.0,4.0,2340.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,515300.0,2964,False,False,RECENTLY_SOLD,515000.0,True,False,False,USD,USA,547000.0,6534.0,sqft,False,,,,,,,,,5913 Penn Ave S,https://www.zillow.com/homedetails/5913-Penn-Ave-S-Minneapolis-MN-55419/1896606_zpid/,173.85290148448044
1782109,https://photos.zillowstatic.com/fp/14fd358b24154934342356d65c662858-p_e.jpg,/homedetails/4055-Pleasant-Ave-Minneapolis-MN-55409/1782109_zpid/,4055 Pleasant Ave,55409,Minneapolis,MN,44.92879,-93.2827,310000.0,1708502400000,2.0,4.0,2038.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,310100.0,2795,False,False,RECENTLY_SOLD,310000.0,True,False,False,USD,USA,369000.0,5418.0,sqft,False,,,,,,,,,4055 Pleasant Ave,https://www.zillow.com/homedetails/4055-Pleasant-Ave-Minneapolis-MN-55409/1782109_zpid/,110.94812164579606
