zpid,imgSrc,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,datePriceChanged,priceReduction,priceChange,is_FSBA,timeOnZillow,streetName,homeDetailUrl,price_to_rent_ratio
2086077,https://photos.zillowstatic.com/fp/e61e1c8c70bcf5310242e0ac23ad5b8e-p_e.jpg,/homedetails/767-Lexington-Pkwy-S-Saint-Paul-MN-55116/2086077_zpid/,767 Lexington Pkwy S,55116,Saint Paul,MN,44.918495,-93.147964,407000.0,1709280000000,3.0,5.0,2382.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,395500.0,2650,False,False,RECENTLY_SOLD,407000.0,True,False,False,USD,USA,451600.0,8712.0,sqft,False,,,,,,767 Lexington Pkwy S,https://www.zillow.com/homedetails/767-Lexington-Pkwy-S-Saint-Paul-MN-55116/2086077_zpid/,149.24528301886792
2115205,https://photos.zillowstatic.com/fp/ff0fa33a0ccff012e009f15331307f83-p_e.jpg,/homedetails/873-Idaho-Ave-W-Saint-Paul-MN-55117/2115205_zpid/,873 Idaho Ave W,55117,Saint Paul,MN,44.990337,-93.13674,402000.0,1709280000000,2.0,4.0,2037.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,385800.0,2311,False,False,RECENTLY_SOLD,402000.0,True,False,False,USD,USA,325300.0,7405.2,sqft,False,,,,,,873 Idaho Ave W,https://www.zillow.com/homedetails/873-Idaho-Ave-W-Saint-Paul-MN-55117/2115205_zpid/,166.9407183037646
2041890,https://photos.zillowstatic.com/fp/7c6baab274c58a8bd5e7a4cfe061c850-p_e.jpg,/homedetails/1306-Lincoln-Ave-Saint-Paul-MN-55105/2041890_zpid/,1306 Lincoln Ave,55105,Saint Paul,MN,44.93866,-93.15538,700000.0,1709020800000,3.0,5.0,2994.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,700100.0,3971,False,False,RECENTLY_SOLD,700000.0,True,False,False,USD,USA,555600.0,7405.2,sqft,False,,,,,,1306 Lincoln Ave,https://www.zillow.com/homedetails/1306-Lincoln-Ave-Saint-Paul-MN-55105/2041890_zpid/,176.3031981868547
2090744,https://photos.zillowstatic.com/fp/eb029359bdaa9aa3f13e4924cd13719b-p_e.jpg,/homedetails/1047-Howell-St-S-Saint-Paul-MN-55116/2090744_zpid/,1047 Howell St S,55116,Saint Paul,MN,44.90978,-93.181465,475000.0,1708588800000,2.0,4.0,2405.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,475100.0,2600,False,False,RECENTLY_SOLD,475000.0,True,False,False,USD,USA,342000.0,10018.8,sqft,False,,,,,,1047 Howell St S,https://www.zillow.com/homedetails/1047-Howell-St-S-Saint-Paul-MN-55116/2090744_zpid/,182.73076923076923
2086198,https://photos.zillowstatic.com/fp/76ce649b0df6bc086276e19a0957fd27-p_e.jpg,/homedetails/724-Hamline-Ave-S-Saint-Paul-MN-55116/2086198_zpid/,724 Hamline Ave S,55116,Saint Paul,MN,44.919468,-93.1566,513500.0,1708416000000,3.0,4.0,2358.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,513700.0,2600,False,False,RECENTLY_SOLD,513500.0,True,False,False,USD,USA,519300.0,7405.2,sqft,False,,,,,,724 Hamline Ave S,https://www.zillow.com/homedetails/724-Hamline-Ave-S-Saint-Paul-MN-55116/2086198_zpid/,197.57692307692307
2146136,https://photos.zillowstatic.com/fp/676f0837587b10cc37d6b10710f6e9cf-p_e.jpg,/homedetails/2172-Carroll-Ave-Saint-Paul-MN-55104/2146136_zpid/,2172 Carroll Ave,55104,Saint Paul,MN,44.950504,-93.19204,737500.0,1708070400000,4.0,5.0,3269.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,737600.0,4114,False,False,RECENTLY_SOLD,737500.0,True,False,False,USD,USA,767400.0,9147.6,sqft,False,,,,,,2172 Carroll Ave,https://www.zillow.com/homedetails/2172-Carroll-Ave-Saint-Paul-MN-55104/2146136_zpid/,179.29022848808944
2156627,https://photos.zillowstatic.com/fp/96e74959039444ffcbcc2c88038512a3-p_e.jpg,/homedetails/1821-Margaret-St-Saint-Paul-MN-55119/2156627_zpid/,1821 Margaret St,55119,Saint Paul,MN,44.961796,-93.02355,310000.0,1708070400000,2.0,3.0,2008.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,310300.0,2299,False,False,RECENTLY_SOLD,310000.0,True,False,False,USD,USA,275500.0,0.33999999999999997,acres,False,,,,,,1821 Margaret St,https://www.zillow.com/homedetails/1821-Margaret-St-Saint-Paul-MN-55119/2156627_zpid/,134.97172683775554
2156073,https://photos.zillowstatic.com/fp/aa5100c77718fab49a677eaac272b72d-p_e.jpg,/homedetails/2061-Margaret-St-Saint-Paul-MN-55119/2156073_zpid/,2061 Margaret St,55119,Saint Paul,MN,44.96158,-93.01353,260000.0,1707984000000,2.0,4.0,2300.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,260300.0,2350,False,False,RECENTLY_SOLD,260000.0,True,False,False,USD,USA,246900.0,5662.8,sqft,False,,,,,,2061 Margaret St,https://www.zillow.com/homedetails/2061-Margaret-St-Saint-Paul-MN-55119/2156073_zpid/,110.76595744680851
2070289,https://photos.zillowstatic.com/fp/3671e3b00581410a813bd985dcd9f304-p_e.jpg,/homedetails/302-Osceola-Ave-S-Saint-Paul-MN-55102/2070289_zpid/,302 Osceola Ave S,55102,Saint Paul,MN,44.93221,-93.12786,333000.0,1707724800000,2.0,3.0,2224.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,333000.0,2499,False,False,RECENTLY_SOLD,333000.0,True,False,False,USD,USA,338000.0,6098.4,sqft,False,,,,,,302 Osceola Ave S,https://www.zillow.com/homedetails/302-Osceola-Ave-S-Saint-Paul-MN-55102/2070289_zpid/,133.2533013205282
81751993,https://photos.zillowstatic.com/fp/90cf4cf2778bbd5b58e09db6ee8e5052-p_e.jpg,/homedetails/1883-Laurel-Ave-Saint-Paul-MN-55104/81751993_zpid/,1883 Laurel Ave,55104,Saint Paul,MN,44.945423,-93.17994,496000.0,1707724800000,3.0,5.0,2396.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,496100.0,2834,False,False,RECENTLY_SOLD,496000.0,True,False,False,USD,USA,452900.0,7405.2,sqft,False,,,,,,1883 Laurel Ave,https://www.zillow.com/homedetails/1883-Laurel-Ave-Saint-Paul-MN-55104/81751993_zpid/,175.0529287226535
2069997,https://photos.zillowstatic.com/fp/297b7e5108be5c9409b1be98593d3a53-p_e.jpg,/homedetails/418-Totem-Rd-Saint-Paul-MN-55119/2069997_zpid/,418 Totem Rd,55119,Saint Paul,MN,44.9287,-93.01601,385000.0,1707465600000,4.0,4.0,2349.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,385900.0,2650,False,False,RECENTLY_SOLD,385000.0,True,False,False,USD,USA,403300.0,0.45999999999999996,acres,False,,,,,,418 Totem Rd,https://www.zillow.com/homedetails/418-Totem-Rd-Saint-Paul-MN-55119/2069997_zpid/,145.62264150943398
2091301,https://photos.zillowstatic.com/fp/02cda809ca42a9017c434ffa40dce544-p_e.jpg,/homedetails/2265-Edgcumbe-Rd-Saint-Paul-MN-55116/2091301_zpid/,2265 Edgcumbe Rd,55116,Saint Paul,MN,44.90933,-93.17466,645000.0,1707465600000,5.0,6.0,4633.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,645000.0,5133,False,False,RECENTLY_SOLD,645000.0,True,False,False,USD,USA,878600.0,0.38,acres,False,,,,,,2265 Edgcumbe Rd,https://www.zillow.com/homedetails/2265-Edgcumbe-Rd-Saint-Paul-MN-55116/2091301_zpid/,125.65751022793688
119334217,https://photos.zillowstatic.com/fp/9421c1aeac16fc61579f624ef318bac3-p_e.jpg,/homedetails/572-Burlington-Rd-Saint-Paul-MN-55119/119334217_zpid/,572 Burlington Rd,55119,Saint Paul,MN,44.92285,-93.012634,635000.0,1707465600000,5.0,7.0,4698.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,635300.0,3781,False,False,RECENTLY_SOLD,635000.0,True,False,False,USD,USA,610500.0,0.41,acres,False,,,,,,572 Burlington Rd,https://www.zillow.com/homedetails/572-Burlington-Rd-Saint-Paul-MN-55119/119334217_zpid/,168.02433218725204
2070114334,https://photos.zillowstatic.com/fp/0be76e4fa11074ef8428113d2513971c-p_e.jpg,/homedetails/2097-Highwood-Ave-E-Saint-Paul-MN-55119/2070114334_zpid/,2097 Highwood Ave E,55119,Saint Paul,MN,44.913715,-93.01089,350000.0,1706860800000,3.0,3.0,2106.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,351200.0,2587,False,False,RECENTLY_SOLD,350000.0,True,False,False,USD,USA,,0.27999999999999997,acres,False,,,,,,2097 Highwood Ave E,https://www.zillow.com/homedetails/2097-Highwood-Ave-E-Saint-Paul-MN-55119/2070114334_zpid/,135.75570158484732
2089927,https://photos.zillowstatic.com/fp/c1881ce396f7feffc2eccc08b31d29e6-p_e.jpg,/homedetails/1751-Rome-Ave-Saint-Paul-MN-55116/2089927_zpid/,1751 Rome Ave,55116,Saint Paul,MN,44.9137,-93.174255,467000.0,1706774400000,2.0,3.0,2044.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,468700.0,2450,False,False,RECENTLY_SOLD,467000.0,True,False,False,USD,USA,439700.0,8712.0,sqft,False,,,,,,1751 Rome Ave,https://www.zillow.com/homedetails/1751-Rome-Ave-Saint-Paul-MN-55116/2089927_zpid/,191.30612244897958
2104496,https://photos.zillowstatic.com/fp/be0265da0f497ef80094bd82e7f64b97-p_e.jpg,/homedetails/1389-Prior-Ave-S-Saint-Paul-MN-55116/2104496_zpid/,1389 Prior Ave S,55116,Saint Paul,MN,44.899384,-93.18267,465000.0,1706083200000,2.0,4.0,2106.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,467200.0,2499,False,False,RECENTLY_SOLD,465000.0,True,False,False,USD,USA,432800.0,7840.8,sqft,False,1701331200000.0,,-7500.0,,,1389 Prior Ave S,https://www.zillow.com/homedetails/1389-Prior-Ave-S-Saint-Paul-MN-55116/2104496_zpid/,186.9547819127651
2058756,https://photos.zillowstatic.com/fp/76337b602ec5235fa9abe6d9085cba8c-p_e.jpg,/homedetails/2189-Wellesley-Ave-Saint-Paul-MN-55105/2058756_zpid/,2189 Wellesley Ave,55105,Saint Paul,MN,44.931847,-93.1929,500000.0,1705996800000,2.0,3.0,2026.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,502400.0,2469,False,False,RECENTLY_SOLD,500000.0,True,False,False,USD,USA,598000.0,6098.4,sqft,False,,,,,,2189 Wellesley Ave,https://www.zillow.com/homedetails/2189-Wellesley-Ave-Saint-Paul-MN-55105/2058756_zpid/,203.48319157553667
2149593,https://photos.zillowstatic.com/fp/98bcc2f30aed12a5647e9967d7c3da90-p_e.jpg,/homedetails/411-Johnson-Pkwy-Saint-Paul-MN-55106/2149593_zpid/,411 Johnson Pkwy,55106,Saint Paul,MN,44.954372,-93.04916,295000.0,1705996800000,3.0,3.0,2355.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,296400.0,2674,False,False,RECENTLY_SOLD,295000.0,True,False,False,USD,USA,333500.0,0.41,acres,False,,,,,,411 Johnson Pkwy,https://www.zillow.com/homedetails/411-Johnson-Pkwy-Saint-Paul-MN-55106/2149593_zpid/,110.84517576664173
2034075,https://photos.zillowstatic.com/fp/85594e92a17a39d42655a717bb39880f-p_e.jpg,/homedetails/119-Battle-Creek-Pl-Saint-Paul-MN-55119/2034075_zpid/,119 Battle Creek Pl,55119,Saint Paul,MN,44.94462,-93.024345,360000.0,1705651200000,3.0,5.0,2832.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,362000.0,2650,False,False,RECENTLY_SOLD,360000.0,True,False,False,USD,USA,332600.0,7840.8,sqft,False,,,,,,119 Battle Creek Pl,https://www.zillow.com/homedetails/119-Battle-Creek-Pl-Saint-Paul-MN-55119/2034075_zpid/,136.60377358490567
2040593,https://photos.zillowstatic.com/fp/75f2c6439186c6637fa7198c88932ee4-p_e.jpg,/homedetails/1196-Ashland-Ave-Saint-Paul-MN-55104/2040593_zpid/,1196 Ashland Ave,55104,Saint Paul,MN,44.94367,-93.150665,540000.0,1705564800000,3.0,4.0,2417.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,543000.0,3038,False,False,RECENTLY_SOLD,540000.0,True,False,False,USD,USA,528900.0,6098.4,sqft,False,,,,,,1196 Ashland Ave,https://www.zillow.com/homedetails/1196-Ashland-Ave-Saint-Paul-MN-55104/2040593_zpid/,178.73601053324555
2045877,https://photos.zillowstatic.com/fp/aac2b693262680e1b3f40c4bd58be7e7-p_e.jpg,/homedetails/1826-Summit-Ave-Saint-Paul-MN-55105/2045877_zpid/,1826 Summit Ave,55105,Saint Paul,MN,44.940945,-93.17754,725000.0,1705478400000,4.0,6.0,3090.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,729100.0,4080,False,False,RECENTLY_SOLD,725000.0,True,False,False,USD,USA,550700.0,0.54,acres,False,,,,,,1826 Summit Ave,https://www.zillow.com/homedetails/1826-Summit-Ave-Saint-Paul-MN-55105/2045877_zpid/,178.70098039215685
2061630,https://photos.zillowstatic.com/fp/f179a0f71b25baa5707eb96e0ff0e3db-p_e.jpg,/homedetails/1783-Wellesley-Ave-Saint-Paul-MN-55105/2061630_zpid/,1783 Wellesley Ave,55105,Saint Paul,MN,44.931816,-93.17568,617350.0,1705478400000,3.0,4.0,2263.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,620900.0,3474,False,False,RECENTLY_SOLD,617350.0,True,False,False,USD,USA,521500.0,5662.8,sqft,False,,,,,,1783 Wellesley Ave,https://www.zillow.com/homedetails/1783-Wellesley-Ave-Saint-Paul-MN-55105/2061630_zpid/,178.72769142199195
2149582,https://photos.zillowstatic.com/fp/b569f4c128d9afecd7cf1973926f1efc-p_e.jpg,/homedetails/433-Johnson-Pkwy-Saint-Paul-MN-55106/2149582_zpid/,433 Johnson Pkwy,55106,Saint Paul,MN,44.95523,-93.04828,300000.0,1705478400000,2.0,3.0,2052.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,301700.0,2294,False,False,RECENTLY_SOLD,300000.0,True,False,False,USD,USA,337800.0,9147.6,sqft,False,,,,,,433 Johnson Pkwy,https://www.zillow.com/homedetails/433-Johnson-Pkwy-Saint-Paul-MN-55106/2149582_zpid/,131.51700087183957
2152813,https://photos.zillowstatic.com/fp/749d586a3d8460355c1a73bb0fd5c176-p_e.jpg,/homedetails/504-Barclay-St-Saint-Paul-MN-55106/2152813_zpid/,504 Barclay St,55106,Saint Paul,MN,44.956432,-93.03706,294000.0,1705478400000,2.0,4.0,2408.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,295700.0,2386,False,False,RECENTLY_SOLD,294000.0,True,False,False,USD,USA,296000.0,9147.6,sqft,False,,,,,,504 Barclay St,https://www.zillow.com/homedetails/504-Barclay-St-Saint-Paul-MN-55106/2152813_zpid/,123.93126571668064
2054349,https://photos.zillowstatic.com/fp/5220d1bc35722b40a90b74a5953abb49-p_e.jpg,/homedetails/673-Waseca-St-Saint-Paul-MN-55107/2054349_zpid/,673 Waseca St,55107,Saint Paul,MN,44.925766,-93.09479,329000.0,1705305600000,2.0,3.0,2482.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,331000.0,2500,False,False,RECENTLY_SOLD,329000.0,True,False,False,USD,USA,255600.0,5662.8,sqft,False,,,,,,673 Waseca St,https://www.zillow.com/homedetails/673-Waseca-St-Saint-Paul-MN-55107/2054349_zpid/,132.4
2059193,https://photos.zillowstatic.com/fp/df985fd311baa648b9bc969378b81c08-p_e.jpg,/homedetails/2097-Niles-Ave-Saint-Paul-MN-55116/2059193_zpid/,2097 Niles Ave,55116,Saint Paul,MN,44.9255,-93.18896,747000.0,1705046400000,4.0,4.0,3106.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,751800.0,4205,False,False,RECENTLY_SOLD,747000.0,True,False,False,USD,USA,624900.0,0.14,sqft,False,,,,,,2097 Niles Ave,https://www.zillow.com/homedetails/2097-Niles-Ave-Saint-Paul-MN-55116/2059193_zpid/,178.7871581450654
